Index,Question: Synonyms and Antonyms,Correct Answer,Wrong Answers,,Reference Text,Question: Reading Comprehension,Correct Answer,Wrong Answers,,Question / Instruction: Grammar,Correct Answer,Wrong Answers,,Question / Instruction: Spelling,Correct Answer,Wrong Answers,Explanation,,Question / Instruction: Vocabulary and Paragraph Arangement,Correct Answer,Wrong Answers
20,20. REFINE,purify,"condone, provide, change",,"There is no instruction by the old bird in the movements of flight, no conscious imitation by the young.",20. Choose the sentence that best develops or supports the topic sentence.,"The most obvious way in which birds differ from humans in behavior is that they can do all that they have to do, without ever being taught.","More extraordinary than a bird being able to fly untaught is that it is able to build a nest untaught.


Young birds frequently make their first flights with their parents out of sight.


Young birds brought up by hand in artificial nests will build the proper kind of nest for their species when the time comes.",,20. Choose the correct verb form: I am trying to become more skilled at weaving before winter [_____].,arrives.,"arrived.


will have arrived.


will arrive.",,"20. Choose the misspelled word, or select ""no mistakes"":

twentieth, fortieth, ninetieth",no mistakes,"twentieth


fortieth


ninetieth",-,,20. PERAMBULATE,walk,"move back and forth


disbelieve


investigate"
21,21. PLEDGE,promise,"picture, idea, quote",,The reintroduced wolves are producing more offspring than expected.,21. Choose the sentence that best develops or supports the topic sentence.,The gray wolf will be taken off the list of endangered species in the northern Rocky Mountains when ten breeding pairs reside in a region for three years.,"Ranchers and some biologists are protesting the reintroduction of the wolves.


There are active efforts to reintroduce wolves to national parks in the United States.


The success of an attempt to reintroduce red wolves to parts of North Carolina is not yet clear.",,"21. Choose the correct verb form: While trying to [_____] his cat from a tree, he fell and hurt himself.",rescue,"be rescuing


have rescued


rescuing",,"21. Choose the misspelled word, or select ""no mistakes"":

association, unecessary, illegal",unecessary,"association


illegal


no mistakes",The correct spelling is unnecessary.,,21. A pretty penny means _____________.,"If something costs a pretty penny, it is very expensive.","If something costs a pretty penny, it is very inexpensive.


If something costs a pretty penny, it is very precious.


If something costs a pretty penny, it is very unimportant."
22,22. GANGLY,lanky,"illegally, closely, ugly",,The Puritans established a wide variety of punishments to enforce their strict laws.,22. Choose the sentence that best develops or supports the topic sentence.,"Today, many of the punishments used by the Puritans in Massachusetts Bay seem cruel and excessive.","The Puritans believed that some lawbreakers should be shamed in public by the use of stocks and the pillory.


Disobedient children would feel the sting of the whip.


The Eighth Amendment of the Bill of Rights prohibits cruel and unusual punishment.",,22. Choose the correct verb form: The volunteers from the fire department [_____] quickly and extinguished a fire on North Country Road.,responded,"will respond


will have responded


have responded",,"22. Choose the misspelled word, or select ""no mistakes"":

villin, volunteer, voracious",villin,"volunteer


voracious


no mistakes",The correct spelling is villain.,,22. Come out of your shell means _____________.,"If someone comes out of their shell, they stop being shy and withdrawn and become more friendly and sociable.","If someone comes in of their shell, they never stop being shy and withdrawn and become more unfriendly and sociable.


If someone comes out of their shell, they never stop being shy and withdrawn and become more friendly and sociable.


If someone comes in of their shell, they stop being shy and withdrawn and become more un friendly and unsociable."
23,23. SAGE,wise,"obnoxious, conceited, heartless",,Irish Catholics continued to fight against British rule.,23. Choose the sentence that would make the best topic sentence.,Political violence has claimed many lives in Northern Ireland.,"The struggle today is over the control of these six counties.


For centuries, all of Ireland was ruled by Great Britain.


Six counties in the north—where Protestants outnumber Catholics two to one—remained a part of Great Britain and became known as Northern Ireland.",,"23. Choose the correct verb form: In Tuesday’s paper, the owner of the supermarket was recognized for helping a customer who [_____] on the icy sidewalk.",had fallen,"falls


would fall


has fallen",,"23. Choose the misspelled word, or select ""no mistakes"":

hindrence, equipped, possessive",hindrence,"equipped


possessive


no mistakes",The correct spelling is hindrance.,,23. Derring-do means _________.,"If a person shows derring-do, they show great courage.","If a person shows derring-do, they show unwillingness.


If a person shows derring-do, they show shyness.


If a person shows derring-do, they show pettiness."
24,24. NAVIGATE,steer,"search, decide, assist",,"In Oklahoma, a girl is forbidden to take a bite from her date’s hamburger.",24. Choose the sentence that would make the best topic sentence.,"It may be hard to believe, but these strange laws are still on the books!","It is illegal for teenagers to take a bath during the winter in Clinton, Indiana.


On Sunday, children may not spin yo-yos in Memphis, Tennessee.


It is illegal to parade an elephant down Main Street in Austin, Texas.",,24. Choose the correct verb form: The people who bought this old lamp at the antique auction [_____] very smart.,were,"was


is


has been",,"24. Choose the misspelled word, or select ""no mistakes"":

procedure, judgment, testamony",testamony,"procedure


judgment


no mistakes",The correct spelling is testimony.,,24. Hot water means ___________.,"If you get into hot water, you get into trouble.","If you get into hot water, you get a lucky day.


If you get into hot water, you get a bad day.


If you get into hot water, you get a burn skin."
25,25. DORMANT,slumbering,"hidden, rigid, misplaced",,The hairs themselves are very sensitive.,25. Choose the sentence that would make the best topic sentence.,A cat’s whiskers are among the most perfect organs of touch.,"The roots are provided with highly sensitive nerve endings.


Serving as feelers, they aid the cat’s ability to move in the dark.


This is most important for a cat that does its prowling at night.",,25. Choose the correct verb form: I [_____] her speak on Friday night about the advantages of organic gardening.,will hear,"will have heard


would hear


would have heard",,"25. Choose the misspelled word, or select ""no mistakes"":

explicit, abduct, rotate",no mistakes,"explicit


abduct


rotate",-,,25. Keep abreast means __________.,"If you keep abreast of things, you stay informed about developments.","If you keep abreast of things, you stay uninformed about developments.


If you keep abreast of things, you stay informed about things.


If you keep abreast of things, you stay informed about life."
26,26. Which word means the opposite of prompt?,tardy,"punctual, slack, regular",,French explorers probably taught the Inuit Eskimos how to play dominoes.,26. Choose the sentence that would make the best topic sentence.,The game of dominoes has been popular for centuries.,"It was known in 181 A.D. in China.


Also, it was played during the 1700s in Italy.


From Italy, it was introduced to the rest of the world.",,26. Choose the correct pronoun form: That snappy looking sports car belongs to my sister and [_____].,me,"I


mine


myself",,"26. Choose the misspelled word, or select ""no mistakes"":

through, threw, thorough",no mistakes,"through


threw


thorough",-,,"26. There are times when you must decide and ""take the bull by the horns.""",make a bold decision,"make the right decision


make the wrong decision


make a final decision"
27,27. What word is the opposite of delay?,hasten,"slow, pause, desist",,It is a fact that people are now living longer than ever before for many reasons.,27. Choose the sentence that would make the best topic sentence.,Advances in medical science have done wonders for longevity.,"Some people in Russia’s Caucasus Mountains live to be over one hundred years of age.


No one seems to understand this phenomenon.


The people in this region do not seem to gain anything from medical science.",,27. Choose the correct pronoun form: The person [_____] made this delicious cheesecake has my vote.,who,"that


which


whose",,"27. Choose the misspelled word, or select ""no mistakes"":

quantaty, quality, quaint",quantaty,"quality


quaint


no mistakes",The correct spelling is quantity.,,"27. He ""leads a dog's life"" really because his freedom is always curtailed.",never does what he wants,"never knows what to do


sometimes does something wrong


never goes out"
28,28. What word is the opposite of soothe?,aggravate,"increase, comfort, delight",,"For 16 years, he spread violence and death throughout the west.",28. Choose the sentence that would make the best topic sentence.,Jesse Woodson James was the most legendary of all American outlaws.,"Jesse was gunned down on April 3, 1882.


He left a trail of train and bank robberies.


His crimes were committed during the late 1860s.",,28. Choose the correct pronoun form: George and Michael left [_____] backpacks in the car.,their,"his


there


its",,"28. Choose the misspelled word, or select ""no mistakes"":

requirement, reverence, resistent",resistent,"requirement


reverence


no mistakes",The correct spelling is resistant.,,"28. No-one ever mentions him because he's regarded as the ""black sheep of the family.""",the one with a bad reputation,"the one with a sense of humour


the one who is always late


the one who never washes"
29,29. Which word means the opposite of moderate?,excessive,"original, average, final",,Mr. Orenstein is a terrific boss.,29. Fact or Opinion?,Opinion,Fact,,29. Choose the correct pronoun form: You arranged the flowers and placed [_____] in the center of the table.,them,"this


it


that",,"29. Choose the misspelled word, or select ""no mistakes"":

incorporate, contridict, exhale",contridict,"incorporate


exhale


no mistakes",The correct spelling is contradict.,,"29. I shouldn't go outside without a raincoat because ""it's raining cats and dogs.""",it's raining very heavily,"it's just started to rain


it's going to rain


it's raining a little"
30,30. Which word means the opposite of reveal?,conceal,"disclose, achieve, retreat",,Many companies have dress-down days on Fridays.,30. Fact or Opinion?,Fact,Opinion,,30. Choose the correct pronoun form: [_____] met more than ten years ago at a mutual friend’s birthday party.,She and I,"Her and I


Her and me


She and me",,"30. Choose the misspelled word, or select ""no mistakes"":

pertain, reversel, memorization",reversel,"pertain


memorization


no mistakes",The correct spelling is reversal.,,"30. You shouldn't sign there I think he's about ""to make a monkey out of you.""",to make a fool of you,"to make you lose money


to make you feel stupid


to make you lose interest"
31,31. Which word means the opposite of initial?,final,"first, crisis, right",,Dress-down days improve employee morale.,31. Fact or Opinion?,Opinion,Fact,,"31. Find the sentence that has a mistake in grammar or usage. If there are no mistakes, select choice d.",no mistakes,"Have you ever read the book called The Firm?


She urged me not to go.


Stop, look, and listen.",,"31. Choose the misspelled word, or select ""no mistakes"":

marshal, martial, tyrenny",tyrenny,"marshal


martial


no mistakes",The correct spelling is tyranny.,,31. She had to buy a ________ of shoes to match her dress.,pair,"pear


pare


peer"
32,32. Which word means the opposite of brittle?,flexible,"breakable, grating, thin",,Wednesday is the fourth day of the week.,32. Fact or Opinion?,Fact,Opinion,,"32. Find the sentence that has a mistake in grammar or usage. If there are no mistakes, select choice d.",They weren’t the only ones that didn’t like the movie.,"Three’s a crowd.


If you’re not sure, look in the dictionary.


no mistakes",,"32. Choose the misspelled word, or select ""no mistakes"":

optimum, palpable, plunder",no mistakes,"optimum


palpable


plunder",-,,32. The ________ of the school asked all faculty members to attend a meeting.,principal,"principle


precept"
33,33. Which word means the opposite of capable?,unskilled,"absurd, apt, able",,Wednesday is the longest day of the week.,33. Fact or Opinion?,Opinion,Fact,,"33. Find the sentence that has a mistake in grammar or usage. If there are no mistakes, select choice d.",Anne will leave first and Nick will follow her.,"Maya Angelou, a famous poet, recently spoke at our school.


The clerk asked for my address and phone number.


no mistakes",,"33. Choose the misspelled word, or select ""no mistakes"":

ravinous, miraculous, wondrous",ravinous,"miraculous


wondrous


no mistakes",The correct spelling is ravenous.,,33. The ________ of the perfume was intoxicating.,scent,"accent


sent


cent"
34,34. What word is the opposite of stray?,remain,"inhabit, wander, incline",,There are many different ways to invest your money to provide for a financially secure future.,34. Fact or Opinion?,Fact,Opinion,,"34. Find the sentence that has a mistake in grammar or usage. If there are no mistakes, select choice d.",That parrot doesnt talk.,"Don’t spend too much money.


You waited until he stopped to make a phone call.


no mistakes",,"34. Choose the misspelled word, or select ""no mistakes"":

phenomonal, emulate, misconception",phenomonal,"emulate


misconception


no mistakes",The correct spelling is phenomenal.,,34. The room was completely ________ of furniture.,bare,"beer


bear"
35,35. What word is the opposite of dainty?,coarse,"delicate, harsh, delicious",,Many people invest in stocks and bonds.,35. Fact or Opinion?,Fact,Opinion,,"35. Find the sentence that has a mistake in grammar or usage. If there are no mistakes, select choice d.",The first house on the street is there’s.,"Alberto laughed loudly when he saw us.


They’re looking for another apartment.


no mistakes",,"35. Choose the misspelled word, or select ""no mistakes"":

mischief, temperture, lovable",temperture,"mischief


lovable


no mistakes",The correct spelling is temperature.,,35. ________ only four o’clock in the afternoon.,It's,"Its


He's"
36,36. Which word means the opposite of craving?,repugnance,"desire, nonchalance, motive",,Savings accounts and CDs (certificates of deposit) are the best way to invest your hard-earned money.,36. Fact or Opinion?,Opinion,Fact,,"36. Find the sentence that has a mistake in grammar or usage. If there are no mistakes, select choice d.",no mistakes,"I love the fireworks on the Fourth of July.


The dog’s barking woke us from a sound sleep.


My grandparents live in Dallas, Texas.",,"36. Choose the misspelled word, or select ""no mistakes"":

stadium, competitor, atheletic",atheletic,"stadium


competitor


no mistakes",The correct spelling is athletic.,,36. Creativity is ________ best asset.,your,you're
