29,"3, 9, 41, 113, _ , 577",265," 260,  270,  275,  None of The Above"
30,"7, 15, _ , 106, 231",42," 32,  45,  64,  None of The Above"
31,"8, _ , 41, 74, 118",19," 29,  15,  22,  None of The Above"
32,"13, _ , 15, 21, 33",12," 11,  13,  14,  None of The Above"
33,"7, _ , 17, 42, 91",8," 7,  9,  12,  None of The Above"
34,"_ , 11, 24, 75, 304",10," 8,  5,  9,  None of The Above"
35,"2, 9, _ , 65, 126",28," 25,  22,  30,  None of The Above"
36,"0, _ , 68, 222, 520",10," 3,  6,  9,  None of The Above"
37,"3, _ , 12, 38, 154",5," 8,  12,  5,  None of The Above"
38,"9, 22, 24, 37, _ , 52",39," 42,  45,  50,  None of The Above"
39,"4, _ , 12, 30",6," 5,  8,  10,  None of The Above"
40,"2348, 3437, 4346, _ , 6344, 7433",5435," 5425,  5436,  5456,  None of The Above"
41,"87, 86, 82, 73, 57, 32, _ ",-4," -5,  6,  10,  None of The Above"
42,"12, 20, 19, 26, _ , 31, 30",25," 24,  26,  None of The Above"
43,"4, 8, 11, 22, 18, 36, 25, 50",36," 35,  46,  56,  None of The Above"
44,"9, 7, 64, 6, 3, 19, 1, 8, 9",19," 28,  16,  18,  None of The Above"
45,"51975, 9450, 2100, _ , 240, 160, 320",600," 800,  900,  1000,  None of The Above"
46,"2, 9, 30, 105, 436, 2195, _ ",13182," 13184,  13186,  13175,  None of The Above"
47,"4, 2.5, 3.5, 6.75, 15.5, 41.25, _ ",126.75," 136.75,  166.75,  175.75,  None of The Above"
48,"1, 5, 9, 17, 25, _ , 49",37," 35,  45,  42,  None of The Above"
49,"2, 10, 30, _ , 130",68," 64,  65,  69,  None of The Above"
50,"3, 12, _ , 6912",192," 194,  196,  212,  None of The Above"
51,"_ , 108, 18, 6",972," 960,  900,  918,  None of The Above"
52,"6, _ , 18, 56, 226",8," 10,  12,  15,  None of The Above"
53,"8, _ , 218, 515",65," 64,  66,  68,  None of The Above"
54,"37.5, _ , 450, 900",150," 125,  200,  250,  None of The Above"
55,"_ , 16, 24, 48",16," 9,  8,  10,  None of The Above"
56,"50, 40, _ , 14",28," 30,  20,  60,  None of The Above"
57,"_ , 7, 16, 41",6," 3,  5,  8,  None of The Above"
58,"2, 10, -6, _ ",18," 12,  10,  28,  None of The Above"
59,"5, _ , 15, 37.5, 112.5",7.5," 5.5,  3.5,  9.5,  None of The Above"
60," 3, 5, 14, _ , 107",42," 28,  30,  16,  None of The Above"
61,"5, _ , 10, 30, 120",5," 4,  6,  10,  None of The Above"
62,"11, 20, 45, 94",10," 5,  8,  6,  None of The Above"
63,"_ , 85, 185, 235, 435",35," 25,  20,  10,  None of The Above"
64,"10, _ , 64, 129, 388",21," 18,  15,  30,  None of The Above"
65,"1, _ , 24, 528, 16896",2," 8,  5,  10,  None of The Above"
66,"5, 4, 6, 15, 56",4," 2,  3,  1,  None of The Above"
67,"5, _ , 21, 37, 81",9," 7,  10,  15,  None of The Above"
68,"6072, _ , 200, 48, 14",1010," 1000,  1072,  985,  None of The Above"
69,"3, 3, 4.5, _ , 22.5, 67.5",9," 13.5,  8.5,  10.5,  None of The Above"
70,"7200, 3600, 1200, _ , 60, 10",300," 200,  250,  350,  None of The Above"
71,"_ , 21, 43, 87, 175",10," 8,  5,  9,  None of The Above"
72,"5, 8, 19, _ , 243",60," 50,  70,  90,  None of The Above"
73,"45, _ , 184, 371, 746",91," 75,  60,  124,  None of The Above"
74,"15, 27, 51, _ , 195",99," 100,  97,  95,  None of The Above"
75,"_ , 23, 44, 85, 166",12," 8,  11,  10,  None of The Above"
76,"_ , 98, 292, 1166, 5828",50," 45,  55,  10,  None of The Above"
77,"16, _ , 24, 12, 36",8," 20,  18,  19,  None of The Above"
78,"1, 9, 25, 49, 81, _ ",1," 2,  4,  1,  8,  None of The Above"
79,"15, 30, 60, 120, 240, _ ",480,"490, 450, 520, None of The Above"
80,"360, 180, 90, 45, 22.5, _ ",11.25,"11.5, 12.25, 10.75, None of The Above"
81,"12, 12, 24, 72, 288, _ ",1440,"1400, 1500, 1600, None of The Above"
82,"3, 6, 18, 72, _ ",360,"350, 365, 355, None of The Above"
83,"51975, 9450, 2100, 600, 240, 160, _ ",320,"330, 340, 350, None of The Above"
84,"3, 4.5, _ , 6.75, 10.125, 15.1875",6.75,"6.5, 7, 7.5, None of The Above"
85,"45, 46, 70, 141, _ , 1061.5",353.5,"353.7, 352.8, 354.5, None of The Above"
86,"50, 60, 75, 97.5, _ , 184.275, 267.19875",131.625,"131.725, 132.375, None of The Above"
87,"6, 9, 12, 15, 18, _ ",21,"22, 23, 25, None of The Above"
88,"4, 5, 7, 10, 14, 19, _ ",25,"26, 28, 32, None of The Above"
89,"3.5, 7, 10.5, 14, _ ",17.5,"18, 19, 20, None of The Above"
90,"32, 58, 92, 134, _ ",184,"185, 186, 187, None of The Above"
91,"24, 60, 120, 210, _ ",336,"337, 338, 339, None of The Above"
92,"2, 3.5, 5, 6.5, 8, _ ",9.5,"9.6, 9.7, 9.8, None of The Above"
93,"8, 16, 28, 44, _ ",64,"65, 66, 67, None of The Above"
94,"4, 11, 30, 67, 128, _ ",219,"220, 221, 222, None of The Above"
95," 3, 128, 6, 64, 9, _ ",32, "12, 16, 15, 8"
96,"13, 41, 85, 145, _ ",221,"222, 223, 224, None of The Above"
97,"0, 5, 18, 43, 84, 145, _ ",230, "231, 234, 240, 245" 
98,"5, 25, 7, _, 9, 19",22,"23, 25, 32, None of The Above"
99,"62, 64, _, 32, 14, 16",30,"26, 28, 32, None of The Above"
100,"100, 50, 52, 26, 28, _",14,"30, 32, 16, None of The Above"
101,"980, 392, 156.8, _, 25.088, 10.0352",62.72,"63.85, 65.04, 60.28, None of The Above"
102,"113, 225, 449, _, 1793",897,"789, 786, 987, None of The Above"
103,"5, 9, 21, 37, 81, _",153,"163, 181, 203, None of The Above"
104,"2, 10, 30, 68, _",130,"126, 140, 150, None of The Above"
105,"45, 46, 70, 141, _, 1061.5",353.5,"353, 352.5, 352, None of The Above"
106,"33, 321, 465, 537, 573, _",591,"600, 585, 498, None of The Above"
107,"2, 9, 30, 105, 436, 2195, _",13182,"25, 27, 30, 33, None of The Above"
108,45 is 1/3 of what number?,135,"140, 141, 142, None of The Above"
109,68 is 1/4 of what number?,272,"270, 275, 280, None of The Above"
110,13 is 8/9 of what number?,14 5/8,"14 6/8, 14 7/8, 14 1/2, None of The Above"
111,A race car travelled for 2 1/2 hours with an average speed of 132 5/8 km per hour. Find the total distance it covered.,331 9/16 km,"264 5/16 km, 330 5/16 km, 135 1/8 km"
112,400 is what percent of 2000?,20%,"30%, 50%, 40%, 80%"
113,What % of 8000 is 6000?,75%,"60%, 85%, 65%, 70%"
114,3/4 is what part of 1 1/8?,2/3,"1 1/2, 5 5/6, 7/8, 4/6"
115,850 is 40% of what number?,2125,"340, 6800, 5600, 212.5"
116,1 1/5 of what number is 1 3/8?,1 7/48,"55/48, 1 13/20, 48/55, 11/24"
117,120% of what number is 72?,60,"400, 700, 900, 1500, 2500"
118,There are 96 students in a class 1/6 is enrolled in swimming 1/2 in karate and the rest in voice lessons. How many are enrolled in voice lessons?,32, "33, 34, None of the Above"
119,How much money was borrowed at 16% annual interest for 9 months if the interest paid was 3000?,"25,000","30,000, 32,000, 33,000, 34,000, None of the Above"
120,"The average of four numbers is 24. If you take a certain number out of four, the new average will be 28. Find the number.",12,"10, 8, 9, None of the Above"
121,"In a dormitory, where 40 students live only 5% are males. 50% of females are working and rest are students, how many females are studying?",38,"39, 40, 41, None of the Above"
122,Change 13.5% to its fraction form,27/200,"27/2, 0.135, 27/20, 24/125"
123,"If -6/(a-3)=3/(a+2), then a=_",-1/3,"1/3, 2, -1/2, 3"
124,"In a group of 80 students, 25 are taking Algebra, 40 are taking Biology, and 15 are taking both Algebra and Biology. If a student, chosen at random, is taking Algebra, what is the probability that he/she is taking Biology?",60%, "40%, 35%, 55%"
125,"Put these numbers in order from least to greatest. 8.75, 8.00, 8.44, 8.04","8.00, 8.04, 8.44, 8.75","8.75, 8.44, 8.04, 8.00, 8.75, 8.00, 8.04, 8.44, 8.04, 8.00, 8.44, 8.75"
126,"Rogie went to a store. He bought 6.4 kgs of mangoes and oranges. If 5.43 kgs were mangoes, how many kilos were oranges?",0.97 kgs,"11.83 kgs, 1.03 kgs, 1.97 kgs, 1.03 kgs"
127,"The mean median and mode of 9 numbers are equal. The numbers are 12, 22, 10, 15, 14, 11, 19, 17. What is the 9th number?",15,"14, 12, 18, 11"
128,"Find the sum of 7,805 and 987.","8792","17675, 8972, 8987"
129,"Lawrence gave $281 to Joel. If he originally had $1,375, how much money does he have left?","$1,094","$1,656, $1,294, $984"
130,"Peter had $10,573 in his savings account. He then deposited $2,900 and $317. How much is in the account now?","$13,790","$13,156, $7,356, $6,006"
131,"What is the positive difference between 10,752 and 675?","10,077","11,427, 3,822, -10,077"
132,"287,500 - 52,988 + 6,808 = _","241320","347396, 46467, 333680"
133,What is the product of 450 and 122?,"54,900","6588, 572, 328"
134,"Find the quotient of 12,440 and 40.",311,"497,600, 12,480, 12,400"
135,"When the sum of 1,352 and 731 is subtracted from 5,000, the result is _","2,917","7,083, 2,083, 4,379"
136,Numerical Ability Questions,Answers,Wrong Answers (from choices)
137,25% of 200,50,"25, 75, 100, None of The Above"
138,"If a train travels at 80 km/h for 3 hours, the distance it travels is _",240 km,"180 km, 200 km, 160 km, None of The Above"
139,"5, 10, 20, 40, _",80,"50, 60, 100, None of The Above"
140,Least common multiple (LCM) of 8 and 12,24,"16, 48, 96, None of The Above"
141,"A map has a scale of 1:1000. If a distance on the map is 5 cm, the actual distance in meters is _",50 m,"5 m, 500 m, 5000 m, None of The Above"
142,Sum of the interior angles of a triangle,180 degrees,"90 degrees, 270 degrees, 360 degrees, None of The Above"
143,"If the perimeter of a square is 48 cm, the length of one side is _",12 cm,"10 cm, 16 cm, 4 cm, None of The Above"
144,3/4 as a percentage,75%,"50%, 60%, 80%, None of The Above"
145,A worker earns P1500 for 5 days of work. He earns _ per day,P300,"P200, P250, P350, None of The Above"
146,"If 2 apples cost P30, 10 apples cost _",P150,"P120, P180, P100, None of The Above"
147,10% of 500,50,"5, 10, 100, None of The Above"
148,"If a car travels 180 km in 3 hours, its average speed is _",60 km/h,"50 km/h, 70 km/h, 90 km/h, None of The Above"
149,"3, 7, 11, 15, _",19,"17, 21, 23, None of The Above"
150,Perimeter of a rectangle with length 12cm and width 8cm,40 cm,"20 cm, 60 cm, 96 cm, None of The Above"
151,"If 2/3 of a number is 10, the number is _",15,"12, 20, 30, None of The Above"
152,Area of a square with a side length of 6cm,36 sq cm,"12 sq cm, 24 sq cm, 48 sq cm, None of The Above"
153,24 / 4 * 2 + 3,15,"6, 12, 18, None of The Above"
154,Fraction equivalent to 0.75,3/4,"1/2, 2/3, 4/5, None of The Above"
155,Sum of the angles in a quadrilateral,360 degrees,"180 degrees, 270 degrees, 90 degrees, None of The Above"
156,"If 7 apples cost 105 pesos, 1 apple costs _",15 pesos,"10 pesos, 20 pesos, 12 pesos, None of The Above"
157,A race car travelled for 2 1/2 hours with an average speed of 132 5/8 km per hour. Find the total distance it covered.,331 9/16 km,"264 5/16 km, 330 5/16 km, 135 1/8 km, None of The Above"
158,400 is what percent of 2000?,20%,"30%, 50%, 40%, 80%, None of The Above"
159,What percent of 8000 is 6000?,75%,"60%, 85%, 65%, 70%, None of The Above"
160,What percent of 2500 is 750?,30%,"50%, 40%, 20%, 80%, None of The Above"
161,780 is what percent of 7800?,10%,"20%, 26%, 16%, None of The Above"
162,3/4 is what part of 1 1/8?,2/3,"1 1/2, 5 5/6, 7/8, 4/6, None of The Above"
163,5/8 is what part of 3 3/4?,1/6,"2/12, 4/24, 1/8, 5/6, None of The Above"
164,30% of what number is 900?,3000,"270, 2700, 1800, 450, None of The Above"
165,850 is 40% of what number?,2125,"340, 6800, 5600, 212.5, None of The Above"
166,25% of what number is 600?,2400,"15,000, 25, 1200, 120, None of The Above"
167,300 is 75% of what number?,400,"700, 900, 1500, 2500, None of The Above"
168,1 1/4 is 3/4 of what number?,1 2/3,"2/3, 20/12, 1 4/6, 1 8/12, None of The Above"
169,1 1/5 of what number is 1 3/8?,1 7/48,"55/48, 1 13/20, 48/55, 11/24, None of The Above"
170,1/4 of what number is 2 1/6?,8 2/3,"52/6, 6/52, 8 4/6, 9 1/2, None of The Above"
171,"If -6/(a-3) = 3/(a+2), then a = _",-1/3,"1/3, 2, -1/2, 3, None of The Above"
172,"A special teacher has 400 units of 6% phosphoric acid solution, and an unlimited supply of 12% phosphoric acid solution. How many units of the latter must she add to the former to produce 10% phosphoric acid solution?",800,"500, 600, 700, None of The Above"
173,"Merlyn has a weight of 40.65 kgs. Adel is 4.3 kgs heavier than Merlyn, and James is 2.9 kgs lighter than Merlyn. What are the weights of Adel and James?",Adel: 44.95 kg and James 37.75 kg,"Adel: 36.35 kg and James 43.55 kg, Adel: 37.75 kg and James 44.95 kg, Adel: 44.95 kg and James 34.50 kg, Adel: 45.95 kg and James 37.75 kg, None of The Above"
174,"The mean median and mode of 9 numbers are equal. The numbers are 12, 22, 10, 15, 14, 11, 19, 17. What is the 9th number?",15,"14, 12, 18, 11, None of The Above"
175,"The mean median and mode of 5 numbers are equal. The numbers are 29, 18, 24, 25. What is the 5th number?",24,"28, 29, 25, 18, None of The Above"
176,A committee of 7 is to be selected from 8 seniors and 5 juniors. In how many ways can this be done if the committee must be composed of 4 seniors?,8C4 x 5C3,"8C4 x 5C4, 8C7 x 5C0, 5C4 x 8C3, None of The Above"
177,"Given S=[2,5,9,7,8,8] consider the following statistics: I. The mean score is 6.5 II. The median is 4 III. The mode is 8. Which of the following is true?",I and III only,"I only, I and II only, II and III only, None of The Above"
178,90 increased by what percent of itself gives 180?,100%,"50%, 90%, 150%, 200%, None of The Above"
179,"If 500 or 25% of graduating class are girls, how many are graduating?","2,000","3,000, 5,000, 10,000, 20,000, None of The Above"
180,"In a group of 8,000 applicants for a civil service examination, 1600 failed to take the first part of the test. What percent of the total applicants took the first part of the test?",80%,"20%, 30%, 40%, None of The Above"
181,Cassy's father was 38 years of age when she was born while her mother was 36 years old when her brother four years younger to her was born. What is the difference between the ages of her parents?,6 years,"2 years, 4 years, 8 years, None of The Above"
182,The lowest temperature on a winter morning was -8°F. Later that same day the temperature reached a high of 24°F. By how many degrees Fahrenheit did the temperature increase?,32°,"3°, 8°, 16°, 24°, None of The Above"
183,The average of four consecutive odd numbers is 24. Find the largest number.,27,"25, 29, 31, None of The Above"
184,"100%, 2, 15/5, 4, _",5,"2, 3, 4, None of The Above"
185,"1/6, 1/3, 1/2, 2/3, _",5/6,"2/6, 2/7, 3/5, None of The Above"
186,"250%, 50%, 100%, 20%, 40%, _",8%,"10%, 5%, 15%, None of The Above"
187,"0.1, 30%, 1/2, 0.7, 90%, _",1 1/10,"100%, 7/9, 1.4, None of The Above"
188,"(2x1÷2), (4÷1x2), (6x1÷2), _",16,"8, 4, 32, None of The Above"
189,"(15-8+3), 8, (4÷2x3), _",4,"3, 8, 2, None of The Above"
190,75 is what percent of 3/4?,10000%,"1%, 10%, 100%, 1,000%, None of The Above"
191,"For the month of July, Victoria purchased the following amounts of gasoline for her car: 9.4 gallons, 18.9 gallons, and 22.7 gallons. How many gallons did she purchase in all?",51,"51.9, 52, 61, None of The Above"
192,Manny works Monday through Friday each week. His bus fare to and from work is $1.10 each way. How much does Manny spend on bus fare each week?,$11.00,"$10.10, $11.10, $11.20, None of The Above"
193,"If one centimeter equals 0.39 inches, about how many centimeters are there in 0.75 inches?",1.923,"0.2925, 0.52, 1.75, None of The Above"
194,5.133 multiplied by 10^(-6) is equal to _,0.000005133,"0.0005133, 0.00005133, 0.0000005133, None of The Above"
195,"On a business trip, Felicia went out to lunch. The shrimp cocktail cost $5.95, the blackened swordfish with grilled vegetables cost $11.70, the cherry cheesecake cost $4.79, and the coffee was $1.52. What was Felicia's total bill?",$23.96,"$26.93, $29.63, $32.99, None of The Above"
196,"If each of the following represents the diameter of a circle, which is the smallest diameter?",7/10 inches,"17/20 inches, 3/4 inches, 5/6 inches, None of The Above"
197,"A loaf of bread has 35 slices. Ann eats 8 slices, Betty eats 6 slices, Carl eats 5, and Derrick eats 9 slices. What fraction of the loaf is left?",1/5,"2/11, 1/9, 2/7, None of The Above"
198,"Bernie ate 3/7 of a chocolate chip cookie, Brian ate 1/3 of the same cookie. How much of the cookie is left?",5/21 cookie,"1/3 cookie, 3/7 cookie, 7/10 cookie, None of The Above"
199,"In a mixture 60 litres, the ratio of milk and water 2: 1. If this ratio is to be 1: 2, then the quantity of water to be further added is _",60 L,"20 L, 30 L, 40 L, None of The Above"
200,"Participants in a certain conference from Luzon, Visayas, and Mindanao are in the ratio of 4:3:2. If there are 120 participants from Luzon, how many participants are there in all?",270,"150, 240, 420, None of The Above"
201,An airplane covers 50 miles in 1/5 hours. How many miles can the airplane cover in 5 hours?,1250 miles,"50 miles, 150 miles, 2500 miles, None of The Above"
202,How many 1/2 cups of juice are in 1 and 1/2 cups?,3 of them,"2 and 1/2 of them, 2 of them, 6 of them, None of The Above"
203,1/2 ÷ 1/4 = _,More than 1,"Less than 1, Equal to 1, Undefined, None of The Above"
204,"If Kardo is feeding his buddy 1/2 cup of dog food but uses 1/10 of a cup, how many scoop will he need to feed his dog?",5 scoops,"1/12th scoop, 1/20th scoop, 3 scoops, None of The Above"
205,The product of the square root of 81 and the square of 2 is _,36,"9, 18, 27, None of The Above"
206,(1/2) ÷ 2 = _,1/4,"1, 2, 4, None of The Above"
207,[2 ÷ (2 x 2)] ÷ [(2 ÷ 2) x 2] = _,1/4,"1, 2, 4, None of The Above"
208,0.5 / 2 = _,1/4,"1, 2, 4, None of The Above"
209,"Mark's temperature at 9:00 a.m. was 97.2° F. At 4:00 p.m., his temperature was 99° F. By how many degrees did his temperature rise?",1.8,"0.8, 2.2, 2.8, None of The Above"
210,"Jason had P40.00 in his wallet. He bought water for P12.90, a small pack of gum for P0.45, and a candy for P0.88. How much money did he have left?",P14.23,"P25.77, P25.67, P26.77, None of The Above"
211,"The price of cheddar cheese is $2.12 per pound. The price of Monterey Jack cheese is $2.34 per pound. If Harrison buys 1.5 pounds of cheddar and 1 pound of Monterey Jack, how much will he spend in all?",$5.52,"$3.18, $4.46, $5.41, None of The Above"
212,"From a 100-foot ball of string, Randy cuts three pieces of the following lengths: 5.8 feet, 3.2 feet, 4.4 feet. How many feet of string are left?",86.6,"66, 87.6, 97.6, None of The Above"
213,"Fifteen-ounce cans of pure lemon juice sell at 3 for P2.00. How much does one can cost, rounded to the nearest cent?",P0.67,"P0.60, P0.66, P0.70, None of The Above"
214,"For every dollar Kyra saves, her employer contributes a dime to her savings, with a maximum employer contribution of $10 per month. If Kyra saves $60 in January, $130 in March, and $70 in April, how much will she have in savings at the end of that time?",$283,"$270, $286, $290, None of The Above"
215,Martin was shopping for a new washing machine. The one he wanted to buy cost $428.98. The salesperson informed him that the same machine would be on sale the following week for $399.99. How much money would Martin save by waiting until the washing machine went on sale?,$28.99,"$29.01, $39.09, $128.99, None of The Above"
216,"Based on the information given in the previous question, calculate the percentage decrease.",6.76%,"7.25%, 7%, 6.25%, None of The Above"
217,"Marcia wants to make muffins and needs 3/4 cup of sugar. She discovers, however, that she has only 2/3 cup of sugar. How much more sugar does she need?",1/12 cup,"1/8 cup, 1/6 cup, 1/4 cup, None of The Above"
218,Angela baked 13 dozen muffins for a party. She made a mistake and bought 10-piece boxes instead of 12-piece ones. How many boxes can she fill?,16 boxes,"12 boxes, 13 boxes, 15 boxes, None of The Above"
219,"A recipe calls for 2 cups of milk for every 7 cups of flour. A chef will use 28 cups of flour, how many cups of milk must he have?",8,"14, 20, 49, None of The Above"
220,"Simple Interest: A sum of P12,500 amounts to P15,500 in 4 years at the rate of the simple interest. What is the rate of interest?",6%,"3%, 4%, 5%, None of The Above"
221,Compound Interest: Mario invested an amount of Php8000 in a fixed deposit scheme for 2 years at compound interest rate of 5%. How much amount will Mario get on maturity of the fixed deposit?,Php8820,"Php8600, Php8620, Php8800, None of The Above"
222,Which of the following has the largest numerical value?,0.35 x 120,"30% x 120, 35% of 100, 1/4 of 160, 1/3 x 120, None of The Above"
223,"Given that a=1/2, b=-1, and c=3, solve the following expression: (5c-b)^a / 6a",4/3,"1, 5/4, 7/3, 8/3, None of The Above"
224,What is the lowest term of 336/564?,28/47,"26/42, 28/94, 42/94, 56/94, None of The Above"
225,The square root of the sum of 64 and 36 is _,10,"6, 8, 12, 14, None of The Above"
226,In one bag of chicken feed there are 24 chickens eating it in 45 days. In how many days do 15 chickens consume the feed?,72,"60, 90, 80, 64, None of The Above"
227,"At 25% discount, Ms. Bautista paid P150.75 for a bag. What was the original price of the bag?",P201.00,"P37.69, P150.75, P603.00, None of The Above"
228,What is the percentage decrease from 80 to 60?,25%,"33.33%, 20%, 75%, None of The Above"
229,What is the percentage increase from 60 to 80?,33.33%,"25%, 20%, 75%, None of The Above"
230,"A businessman sells 60% English books and still has 28 English books. Originally, he had _",70,"47, 39, 60, None of The Above"
231,Twelve and one half percent of 200 is what number?,25,"112, 12, 50, None of The Above"
232,"If the price of a book is first decreased by 25% and then increased by 20%, then the net change in the price will be _",10%,"20%, 30%, 40%, None of The Above"
233,One half percent is _,0.005,"0.05, 0.5, 50%, None of The Above"
234,One fourth percent is _,0.25%,"25%, 0.25, None of The Above"
235,What single discount is equivalent to two successive discounts of 10% and 15%?,23.50%,"25%, 24%, 24.5%, 22%, None of The Above"
236,75 is 3/4 of what number?,100,"10, 1,000, 10,000, 100,000, None of The Above"
237,75 is 3/4 percent of what number?,"10,000","10, 100, 1,000, 100,000, None of The Above"
238,"5, 6, 9, 15, _",25,"21, 27, 33, None of The Above"
239,"5, 16, 49, 104, _",181,"170, 148, 115, None of The Above"
240,"225, 336, 447, _",558,"114, 991, 338, None of The Above"
241,"3, 12, 27, 48, 75, 108, _",147,"183, 192, 162, None of The Above"
242,"0.5, 0.55, 0.65, 0.8, _",1,"0.82, 0.9, 0.95, None of The Above"
243,"3, 8, 22, 63, 185, _",550,"285, 310, 295, None of The Above"
244,"840, 168, 42, 14, 7, _",7,"9, 1, 12, None of The Above"
245,"134, 245, 356, 467, _",578,"568, 579, 478, None of The Above"
246,"11, 12, 17, 18, 23, 24, _",29,"30, 12, 35, None of The Above"
247,How would you divide P40.00 between two students in the ratio of 3 is to 5?,P15 & P25,"P23 & P17, P14 & P26, P12 & P28, None of The Above"
248,Round off value of 6488 to nearest hundreds,6500,"6400, 7000, 6600, None of The Above"
249,"Millie is a night security guard at the Art Museum. Each night, she is required to walk through each gallery once. The Museum contains 52 galleries. This night, Millie has walked through 16 galleries. What fraction of the total galleries has she already visited?",4/13,"1/16, 5/11, 3/14, None of The Above"
250,Alan has been ill and worked only 3/4 of his usual 40 hour week. He makes $12.35 an hour. How much has he earned this week?,$370.50,"$247.00, $308.75, $432.25, None of The Above"
251,A recipe calls for 1/4 teaspoon of red pepper. How much red pepper would you need for half a recipe?,1/8 teaspoon,"1/10 teaspoon, 1/6 teaspoon, 1/2 teaspoon, None of The Above"
252,"Juana's lawn is 30 yards by 27 yards. Yesterday, Juana mowed 2/3 of the lawn. How many square yards are left to be mowed today?",270 square yards,"540 square yards, 810 square yards, 1080 square yards, None of The Above"
253,A thirty-minute time slot on a television network contains 24 minutes of comedy and 6 minutes of commercials. What fraction of the program time is devoted to commercials?,1/5 of the time,"1/6 of the time, 1/4 of the time, 1/3 of the time, None of The Above"
254,A pipe can empty a tank in 40 minutes. A second pipe with diameter twice as much as that of the first is also attached with the tank to empty it. The two pipe together can empty the tank in _,8 Minutes,"40/3 Minutes, 30 Minutes, 38 Minutes, None of The Above"
255,0.2 to 0.4 as 0.3 is to _,0.9,"0.009, 0.0009, 0.09, 9.0, None of The Above"
256,25% of 200 is _,50,"25, 75, 100, None of The Above"
257,"If a train travels at 80 km/h for 3 hours, the distance it travels is _",240 km,"180 km, 200 km, 160 km, None of The Above"
258,"5, 10, 20, 40, _",80,"50, 60, 100, None of The Above"
259,The least common multiple (LCM) of 8 and 12 is _,24,"16, 48, 96, None of The Above"
260,"A map has a scale of 1:1000. If a distance on the map is 5 cm, the actual distance in meters is _",50 m,"5 m, 500 m, 5000 m, None of The Above"
261,The sum of the interior angles of a triangle is _,180 degrees,"90 degrees, 270 degrees, 360 degrees, None of The Above"
262,"If the perimeter of a square is 48 cm, the length of one side is _",12 cm,"10 cm, 16 cm, 4 cm, None of The Above"
263,3/4 as a percentage is _,75%,"50%, 60%, 80%, None of The Above"
264,A worker earns P1500 for 5 days of work. He earns _ per day,P300,"P200, P250, P350, None of The Above"
265,"If 2 apples cost P30, 10 apples cost _",P150,"P120, P180, P100, None of The Above"
266,10% of 500 is _,50,"5, 10, 100, None of The Above"
267,"If a car travels 180 km in 3 hours, its average speed is _",60 km/h,"50 km/h, 70 km/h, 90 km/h, None of The Above"
268,"3, 7, 11, 15, _",19,"17, 21, 23, None of The Above"
269,The perimeter of a rectangle with length 12cm and width 8cm is _,40 cm,"20 cm, 60 cm, 96 cm, None of The Above"
270,"If 2/3 of a number is 10, the number is _",15,"12, 20, 30, None of The Above"
271,The area of a square with a side length of 6cm is _,36 sq cm,"12 sq cm, 24 sq cm, 48 sq cm, None of The Above"
